ANSWER_ID,CONTENT,IMAGE,AUDIO_LINK,QUESTION_ID,ORDER
c3236606-021b-4b2d-bb7c-2e247076f94c,his brother,,,ff104819-e6c9-4fc9-ade8-af8914a34108,1
fde717cb-b63f-4c17-a2a4-2761a780575a,his granddad,,,ff104819-e6c9-4fc9-ade8-af8914a34108,2
cac13479-607d-48c3-bc8b-c0df3c2d89ec,his cousin,,,ff104819-e6c9-4fc9-ade8-af8914a34108,3
03222ee1-ff2d-4d3e-8aed-f6c3ca36bf83,forty-five minutes,,,5d7dd3f5-d1a9-4e07-89c3-e86e05ab6ed3,1
80b3102f-e1f9-40d9-8fec-4e59255df577,one hour,,,5d7dd3f5-d1a9-4e07-89c3-e86e05ab6ed3,2
0927266c-78cd-4c85-82fe-b14065d08008,one hour and thirty minutes,,,5d7dd3f5-d1a9-4e07-89c3-e86e05ab6ed3,3
ac0cc36a-528f-483c-b2a7-bb0e1d454d1c,finding food,,,64948e9c-03d7-4690-a836-4f635563a8ce,1
9094accc-c298-4aff-a8e9-d4c97da6b316,building a hut,,,64948e9c-03d7-4690-a836-4f635563a8ce,2
179b6b50-c8c8-4fcf-8adf-b33b3a86a834,crossing the river,,,64948e9c-03d7-4690-a836-4f635563a8ce,3
8b1aae8a-8709-4122-bf4f-6e309177a4e5,something to wear,,,14f6a60e-daf1-4b64-9203-b2c18921844c,1
8c77136d-cac3-406e-8c7a-cbe15b241052,something to eat,,,14f6a60e-daf1-4b64-9203-b2c18921844c,2
2fdd8e2f-cac5-480a-9fa3-cf73ef44651a,something to read,,,14f6a60e-daf1-4b64-9203-b2c18921844c,3
00dea0d5-fb35-432a-a364-20caf4cf0058,She was sick.,,,1251e5ff-aeca-4ff7-9714-d57967072948,1
c97f9bad-cc23-49f5-8a29-9d3f5ad08c3b,She was in a competition.,,,1251e5ff-aeca-4ff7-9714-d57967072948,2
45385531-1654-40bb-bfd2-15981d7ebbe0,She arrived back late from holiday.,,,1251e5ff-aeca-4ff7-9714-d57967072948,3
98f2eb17-ea7c-4043-a5ff-09bb6fdbd9c2,by doing a course,,,7a9e3ad1-2aed-41d3-b72d-e999cc994697,1
046d9245-7ab0-454a-9839-fbaebdc31ce6,by watching videos,,,7a9e3ad1-2aed-41d3-b72d-e999cc994697,2
36e7345f-353b-4679-892a-d0ce1d50565d,by practising by himself,,,7a9e3ad1-2aed-41d3-b72d-e999cc994697,3
5cabe07b-004f-4994-88de-f87f3cb260dd,geography,,,c7926cb3-245b-46fe-a122-bc0890a61a68,1
d83fc9ec-6195-4801-92ca-444ad817d9fb,English,,,c7926cb3-245b-46fe-a122-bc0890a61a68,2
dd94c412-7df9-49d5-8c10-30cedc6cf47a,biology,,,c7926cb3-245b-46fe-a122-bc0890a61a68,3
e7ebb001-10be-4b67-8203-3fb7a8a2e88b,Their bedroom was hot.,,,d6e125d7-bf45-49b8-b4ab-8be9cd2decaf,1
66b80b36-41ab-4066-9d9c-f845a4d61100,There were noises in the street.,,,d6e125d7-bf45-49b8-b4ab-8be9cd2decaf,2
231b9c6e-435e-4193-8cd2-651cb403bb0b,They were excited about going on holiday.,,,d6e125d7-bf45-49b8-b4ab-8be9cd2decaf,3
dc5d1112-9644-420b-9c33-1839572662e6,A,16.0,,7d90276c-63fd-4d67-8440-34fe8e67a9fd,1
f3a97050-17f1-4f39-a4a7-cafd75d5ec3b,B,17.0,,7d90276c-63fd-4d67-8440-34fe8e67a9fd,2
a114aa4a-7dcf-42b9-8855-522d555859fe,C,18.0,,7d90276c-63fd-4d67-8440-34fe8e67a9fd,3
c4383787-03ba-4746-8ec7-0811d7c0ba28,A,19.0,,9a84f087-cad7-433b-8d8c-4ec8040ed960,1
13554b6e-07b2-4aa9-85e6-54fef726e322,B,20.0,,9a84f087-cad7-433b-8d8c-4ec8040ed960,2
1966cbfc-214d-4fdd-87ca-9adc456e6467,C,21.0,,9a84f087-cad7-433b-8d8c-4ec8040ed960,3
93393b45-e30e-4329-b2a4-244e8ba55efb,A,22.0,,f23fa872-15e8-4415-a283-0e83b49bd099,1
3e11f8db-4da0-4942-b308-1090bdc757aa,B,23.0,,f23fa872-15e8-4415-a283-0e83b49bd099,2
81cf3b63-c01d-4c57-bb45-96e6124b73f4,C,24.0,,f23fa872-15e8-4415-a283-0e83b49bd099,3
8ad82f30-ee46-4693-a7b4-68ea99c06d9b,A,25.0,,a8a40288-e646-4b23-b9a1-bef61a7f84c2,1
dd5b99cc-db35-4e55-91a2-88d3ff8f89a3,B,26.0,,a8a40288-e646-4b23-b9a1-bef61a7f84c2,2
86832e3c-e2ab-4f52-ab12-7b66adc1a56b,C,27.0,,a8a40288-e646-4b23-b9a1-bef61a7f84c2,3
12a49688-52f6-49f8-aed7-4df89e443912,A,28.0,,05069247-cfc2-4d77-a2be-39df0538f217,1
ccd51ad1-c74c-4c02-9f62-78c3c2b1a9b4,B,29.0,,05069247-cfc2-4d77-a2be-39df0538f217,2
33cf28eb-7946-45da-a668-0282729459a2,C,30.0,,05069247-cfc2-4d77-a2be-39df0538f217,3
b2fff003-e0b4-4319-a6b7-409bde1995db,His father wanted to have a street party.,,,c851f8a1-cfd4-474c-9528-0e11511839f1,1
37e8571c-8987-4818-9d84-9818db42edcc,There hasn’t been a street party for a long time.,,,c851f8a1-cfd4-474c-9528-0e11511839f1,2
4d82b87a-9bd2-48d6-8360-f60c41e715e3,Many people remembered the last street party.,,,c851f8a1-cfd4-474c-9528-0e11511839f1,3
494a91c9-4458-4a88-8ecf-4c4041166843,The street still looks the same now.,,,542dd293-c420-409f-bfc6-b23d394c9e0b,1
743e3298-a340-493d-9c79-e06a3a6834ae,There are more children living in the street now.,,,542dd293-c420-409f-bfc6-b23d394c9e0b,2
a219fe3f-9119-4b57-aa79-3cce9f51c225,The same people still live on the street now.,,,542dd293-c420-409f-bfc6-b23d394c9e0b,3
d1891109-53d6-4b82-be02-3eec52ec93e4,She thought that the party was too expensive.,,,d2a1173f-0d61-4555-bd82-982ce0bf81ab,1
d7b6e001-62ca-4ea1-a953-d9bd64d1f51a,She thought that people might not come to the party.,,,d2a1173f-0d61-4555-bd82-982ce0bf81ab,2
f560b154-9ab7-4035-9c0e-d262a0b9b32a,She thought that the guests might not talk to each other.,,,d2a1173f-0d61-4555-bd82-982ce0bf81ab,3
7f19b3c1-b6e1-4508-bc10-47ce8afcc718,hearing Louisa’s stories.,,,db28b57f-1bf4-4713-9236-81aa2b2a8bad,1
4d1a9e6a-fe0c-4a7f-8b81-3fe2e4dd0383,meeting Louisa’s friends.,,,db28b57f-1bf4-4713-9236-81aa2b2a8bad,2
099c6247-a1d2-4a5a-ae12-028f6d45a696,telling Louisa about their lives.,,,db28b57f-1bf4-4713-9236-81aa2b2a8bad,3
96442c46-ad8a-4bf5-b43f-a2757a2eb2e3,Why I love street parties,,,37d18969-dc58-4835-9be6-ccf4bef72a59,1
95816895-fda6-481b-8cc4-f16be53dc85f,The street party we had,,,37d18969-dc58-4835-9be6-ccf4bef72a59,2
1adead34-22c3-4b81-8484-0dab7819d9fe,How to have a street party,,,37d18969-dc58-4835-9be6-ccf4bef72a59,3
53bc5638-8703-4333-816b-64980f5f1609,soon,,,62f85a1c-a550-43f1-91b1-40f28ad40321,1
d9bc4996-c0c8-4ce3-b26a-ddf9870eb44f,much,,,62f85a1c-a550-43f1-91b1-40f28ad40321,2
4a77e2c7-57fc-4c09-bf3d-9eb5c94d05ff,well,,,62f85a1c-a550-43f1-91b1-40f28ad40321,3
ec1ae025-c313-49cf-bd4f-2d7a5ee03d79,spend,,,34dc080e-b554-4fc3-b5e6-f8bb20a4b971,1
638d8d04-10e6-4e5f-b6da-acc290e8abad,live,,,34dc080e-b554-4fc3-b5e6-f8bb20a4b971,2
85b44077-1c6b-47fb-96eb-3841e38367e0,take,,,34dc080e-b554-4fc3-b5e6-f8bb20a4b971,3
21afe30b-fc13-4009-8f1c-2e79e069184d,look,,,f261cbc4-5ae5-4db2-9052-1cc70fefe423,1
f09dcbe4-303f-4a64-8174-b1051a99936f,see,,,f261cbc4-5ae5-4db2-9052-1cc70fefe423,2
48d81b21-c20a-4884-8b27-c6fca89097f7,find,,,f261cbc4-5ae5-4db2-9052-1cc70fefe423,3
8750b88f-863e-41f7-9e0b-65e5e8abda87,even,,,a668a4f5-a74d-48f1-a6ca-4371a5f38e93,1
4b142e7c-ec2d-441a-8f45-0fe1d67bd7f5,quite,,,a668a4f5-a74d-48f1-a6ca-4371a5f38e93,2
1fa56618-cbf8-4709-8595-930d3d2fe946,still,,,a668a4f5-a74d-48f1-a6ca-4371a5f38e93,3
82203817-05ff-4037-bec6-127aaa0d400c,little,,,63b59ec1-2b99-48d8-a035-953df58e3f26,1
c16bf4e7-edbc-493a-858d-c033ba2fe044,low,,,63b59ec1-2b99-48d8-a035-953df58e3f26,2
6271d5dd-5598-4e9d-86e4-13c6868f52cf,short,,,63b59ec1-2b99-48d8-a035-953df58e3f26,3
55aca205-f053-4566-b3cb-b768a1b8684c,are,,,8dc6bc79-9f41-4d6d-a446-1d08fe83b23f,1
f2c3e0ed-982b-4b84-970a-577fb3d8831c,was,,,8dc6bc79-9f41-4d6d-a446-1d08fe83b23f,2
aa91879b-b812-46bc-8016-a068136ce3cc,were,,,8dc6bc79-9f41-4d6d-a446-1d08fe83b23f,3
7514413a-5e91-42cd-ac21-6683b9e06b58,were,,,bd24a099-2708-4337-a67b-68e83f2f6ec8,1
3a24e194-28d8-4943-807f-ce4bfa43a3e6,did,,,bd24a099-2708-4337-a67b-68e83f2f6ec8,2
6265a94f-49af-409b-a3f8-bef335f1c1ea,was,,,bd24a099-2708-4337-a67b-68e83f2f6ec8,3
eacb436a-e121-4a4d-8788-423236a6b577,were,,,3306eb06-3263-44f9-836e-8376ac649b2a,1
583620ea-5e40-4e15-995f-1b3b6042d106,was,,,3306eb06-3263-44f9-836e-8376ac649b2a,2
85c1568c-559d-4671-9d63-9aa474f85150,did,,,3306eb06-3263-44f9-836e-8376ac649b2a,3
a19aa28e-d761-4674-a716-0413802fd67a,was,,,222996ee-f230-4de9-8a11-01f723b92d17,1
9591292d-345e-4fa4-8bd3-ddcc860a47f4,were,,,222996ee-f230-4de9-8a11-01f723b92d17,2
e74dac20-b1f0-49f9-a22f-b51a4dc77029,did,,,222996ee-f230-4de9-8a11-01f723b92d17,3
c9accd09-3539-4548-90df-7ced2a44ebd8,were,,,6a7a8f01-92ed-4dbd-aa6f-a3b658aeaeda,1
61b637a1-5388-438b-97d1-8ee30d3a0f7f,was,,,6a7a8f01-92ed-4dbd-aa6f-a3b658aeaeda,2
6db3ff16-a956-4afb-91c6-f8bcddaf2710,has,,,6a7a8f01-92ed-4dbd-aa6f-a3b658aeaeda,3
53da772d-a532-4303-a1aa-b718c4272f28,My mother works in an office.,,,f9cfc88d-0810-44fa-9fe8-b5229e65a6a9,1
19afc71b-09ad-4a34-8316-3fcb0c303394,Sarah usually has breakfast at 8 AM.,,,37435ace-6bd6-4be1-9a86-131d38e2fbfe,1
4fdb9863-9cd0-46c7-8fae-40a40aeffe14,When did you last visit the museum?,,,441c77b4-3ff1-4366-8895-1fb8292345eb,1
d16c25cf-77e6-435a-9c64-4074dd7144b1,Where do you usually go on the weekend?,,,98e6767a-54f4-4486-9f04-b209a70509cf,1
fea9f20f-7902-4e37-ba43-86233d05a8cb,Pizza is my favorite food.,,,b96675a2-36ef-490f-a742-84cdfa282f7c,1
