WORD,PRONUNCIATION,PART_OF_SPEECH,VIETNAMESE_MEANING,TOPIC_NAME,IMAGE_LINK,CERT_LEVEL_NAME,AUDIO_LINK,LESSON_ID
freezing,ˈfriːzɪŋ,adjective,lạnh,Nature and the Universe,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
global,ˈɡləʊbl,adjective,toàn cầu,Nature and the Universe,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
hurricane,ˈhʌrɪkeɪn,noun,bão lớn,Nature and the Universe,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
insect,ˈɪnsekt,noun,côn trùng,Nature and the Universe,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
planet,ˈplænɪt,noun,hành tinh,Nature and the Universe,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
wild,waɪld,adjective,hoang dã,Nature and the Universe,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
mild,maɪld,adjective,ấm áp,Nature and the Universe,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
mammal,ˈmæml,noun,động vật có vú,Nature and the Universe,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
litter,ˈlɪtər,noun,rác,Nature and the Universe,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
satelite,ˈsætəlaɪt,noun,vệ tinh,Nature and the Universe,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
reptile,ˈreptaɪl,noun,bò sát,Nature and the Universe,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
wildlife,ˈwaɪldlaɪf,noun,động vật hoang dã,Nature and the Universe,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
thunder,ˈθʌndər,noun,sấm sét,Nature and the Universe,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
preserve,prɪˈzɜːv,verb,bảo tồn,Nature and the Universe,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
origin,ˈɒrɪdʒɪn,noun,nguồn gốc,People and Places,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
dangerous,ˈdeɪndʒərəs,adjective,nguy hiểm,People and Places,https://th.bing.com/th/id/OIP.1Z6Z9Z6Z9Z6Z9Z6Z9Z6Z9gHaE8?rs=1&pid=ImgDetMain,B1,,1
